Name,Award,Field,State/Country,Year
Kanwar Digvijai Singh,Padma Shri,Sports,Uttar Pradesh,1958
Kum. Fatima A Rasheed alias Nargis,Padma Shri,Art,Maharashtra,1958
Sardar Balwant Singh Puri,Padma Shri,Social Work,Punjab,1958
Shri Debaki Kumar Bose,Padma Shri,Art,West Bengal,1958
Shri Lakshminarayana Puram Ananthakrishnan Ramdas,Padma Shri,Science and Engineering,Delhi,1958
Shri Maganlal Tribhuvandas Vyas,Padma Shri,Literature and Education,Gujarat,1958
Shri Moturi Satyanarayana,Padma Shri,Public Affairs,Tamil Nadu,1958
Shri Punamalai Ekambaranathan,Padma Shri,Social Work,Tamil Nadu,1958
Shri Ram Chandra Varma,Padma Shri,Literature and Education,Uttar Pradesh,1958
Shri Satyajit Ray,Padma Shri,Art,West Bengal,1958
Shri Shambhoo Maharaj,Padma Shri,Art,Uttar Pradesh,1958
Smt. Devika Rani,Padma Shri,Art,Karnataka,1958
Smt. Fatima Ismail,Padma Shri,Social Work,Maharashtra,1958
Smt. R.S. Subbalakshmi,Padma Shri,Social Work,Tamil Nadu,1958
Dr. John Matthai,Padma Vibhushan,Literature and Education,Kerala,1959
Dr. Radha Binode Pal,Padma Vibhushan,Public Affairs,West Bengal,1959
Shri Gaganvihari Lallubhai Mehta,Padma Vibhushan,Social Work,Maharashtra,1959
Dr. Jal Cawasha Paymaster,Padma Bhushan,Medicine,Maharashtra,1959
Shri Ali Yavar Jung,Padma Bhushan,Civil Service,Maharashtra,1959
Shri Barhgavram Vithal Warerkar,Padma Bhushan,Public Affairs,Maharashtra,1959
Shri Bhaurao Payagounda Patil,Padma Bhushan,Social Work,Maharashtra,1959
Shri Ghulam Yazdani,Padma Bhushan,Science and Engineering,Andhra Pradesh,1959
Shri Kankanhalli Vasudevacharya,Padma Bhushan,Art,Karnataka,1959
Shri Nirmal Kumar Sidhanta,Padma Bhushan,Literature and Education,West Bengal,1959
Shri Pammal S. Mudaliar,Padma Bhushan,Art,Tamil Nadu,1959
Shri Ramdhari Singh Dinkar,Padma Bhushan,Literature and Education,Uttar Pradesh,1959
Shri Sisir Kumar Bhaduri,Padma Bhushan,Art,West Bengal,1959
Shri Tenzing Norgay,Padma Bhushan,Sports,West Bengal,1959
Shri Tiruppattur R. Venkatachala Murthi,Padma Bhushan,Literature and Education,Tamil Nadu,1959
Smt. Dhanvanthi Rama Rau,Padma Bhushan,Social Work,Maharashtra,1959
Smt. Hansa Manubhai Mehta,Padma Bhushan,Social Work,Maharashtra,1959
Dr. Atma Ram,Padma Shri,Trade and Industry,West Bengal,1959
Dr. Badri Nath Uppal,Padma Shri,Science and Engineering,Chandigarh,1959
Dr. Shivaji Rao Patwardhan,Padma Shri,Medicine,Maharashtra,1959
Shri Balwant Singh Nag,Padma Shri,Civil Service,Punjab,1959
Shri Ganesh Govind Karkhanis,Padma Shri,Social Work,Karnataka,1959
Shri Homi Nusserwanji Sethna,Padma Shri,Science and Engineering,Maharashtra,1959
Shri Jemadar Milkha Singh,Padma Shri,Sports,Chandigarh,1959
Shri Komaravolu Chandrasekharan,Padma Shri,Literature and Education,Tamil Nadu,1959
Shri Lakshman Singh Jangpangi,Padma Shri,Social Work,Odisha,1959
Shri Manohar Balwant Diwan,Padma Shri,Social Work,Maharashtra,1959
Shri Mathew Kandathil Mathulla,Padma Shri,Civil Service,Karnataka,1959
Shri Mihir Sen,Padma Shri,Sports,West Bengal,1959
Shri Om Prakash Mathur,Padma Shri,Science and Engineering,West Bengal,1959
Shri Onkar Srinivasa Murthy,Padma Shri,Civil Service,Tamil Nadu,1959
Shri Parameshwaran Kuttappa Panikkar,Padma Shri,Civil Service,Kerala,1959
Shri Parixitlal Majumdar,Padma Shri,Social Work,Gujarat,1959
Shri Prataprai Girdharilal Mehta,Padma Shri,Public Affairs,Maharashtra,1959
Shri Surendra Nath Kar,Padma Shri,Science and Engineering,West Bengal,1959
Smt. Ratnamma Issac,Padma Shri,Social Work,Karnataka,1959
Smt. Shailabala Das,Padma Shri,Social Work,Odisha,1959
Shri Narayana Raghavan Pillai,Padma Vibhushan,Public Affairs,Tamil Nadu,1960
Dr. Nilakantha Das,Padma Bhushan,Public Affairs,Odisha,1960
Dr. Rabindra Nath Chaudhuri,Padma Bhushan,Medicine,West Bengal,1960
Dr. Vithal Nagesh Shirodkar,Padma Bhushan,Medicine,Maharashtra,1960
Kazi Nazrul Islam,Padma Bhushan,Literature and Education,West Bengal,1960
Pt. Balkrishna Sharma Navin,Padma Bhushan,Literature and Education,Delhi,1960
Pt. Raj Rajeshwardatt Shastri Dravid,Padma Bhushan,Literature and Education,Uttar Pradesh,1960
Shri Ayyadevara Kaleswara Rao,Padma Bhushan,Public Affairs,Andhra Pradesh,1960
Shri Haridas Siddhanta Vagish,Padma Bhushan,Literature and Education,West Bengal,1960
Shri Shiv Pujan Sahai,Padma Bhushan,Literature and Education,Bihar,1960
Ustad Hafiz Ali Khan,Padma Bhushan,Art,Madhya Pradesh,1960
Dr. Adinath Lahiri,Padma Shri,Trade and Industry,West Bengal,1960
Dr. Artaballav Mohanti,Padma Shri,Literature and Education,Odisha,1960
Dr. Kalpathy Rama Iyer Doraiswami,Padma Shri,Medicine,Tamil Nadu,1960
Dr. Vaidyanatha Subrahmanyan,Padma Shri,Civil Service,Karnataka,1960
Kum. Arati Saha,Padma Shri,Sports,West Bengal,1960
Shri Anil Kumar Das,Padma Shri,Science and Engineering,West Bengal,1960
Shri Ayyagiri S. Rao,Padma Shri,Science and Engineering,Andhra Pradesh,1960
Shri Bellary Shamanna Kesavan,Padma Shri,Literature and Education,Karnataka,1960
Shri Dahyabhai Jivanji Naik,Padma Shri,Social Work,Gujarat,1960
Shri Harkrishan Lal Sethi,Padma Shri,Civil Service,Delhi,1960
Shri Harmandar Singh,Padma Shri,Civil Service,Punjab,1960
Shri Jasu Patel,Padma Shri,Sports,Gujarat,1960
Shri Nanabhai Bhatt,Padma Shri,Social Work,Maharashtra,1960
Shri Nuthakki Bhanu Prasad,Padma Shri,Civil Service,Telangana,1960
Shri Rustom Merwanji Alpaiwala,Padma Shri,Public Affairs,Maharashtra,1960
Shri Vijay Hazare,Padma Shri,Sports,Gujarat,1960
Smt. Bina Das,Padma Shri,Social Work,West Bengal,1960
Smt. Kulsum Sayani,Padma Shri,Social Work,Maharashtra,1960
Smt. Sofia Wadia,Padma Shri,Social Work,Maharashtra,1960
Smt. Vir Vati,Padma Shri,Art,Delhi,1960
Shri Bidhan Chandra Roy,Bharat Ratna,Public Affairs,West Bengal,1961
Shri Purushottam Das Tandon,Bharat Ratna,Public Affairs,Uttar Pradesh,1961
Dr. Krishnaswamy Venkataraman,Padma Bhushan,Trade and Industry,Maharashtra,1961
Dr. Rustomji Bomanji Billimoria,Padma Bhushan,Medicine,Maharashtra,1961
Dr. Tridib Nath Banerjee,Padma Bhushan,Medicine,West Bengal,1961
Dr. Verrier Elwin,Padma Bhushan,Science and Engineering,United Kingdom,1961
Seth Govind Das,Padma Bhushan,Literature and Education,Madhya Pradesh,1961
Shri Ardeshir Ruttonji Wadia,Padma Bhushan,Literature and Education,Maharashtra,1961
Shri Bhagwan Sahay,Padma Bhushan,Civil Service,Uttar Pradesh,1961
Shri L. Aiyar Venkatakrishna Iyer,Padma Bhushan,Civil Service,Tamil Nadu,1961
Shri Niranjan Das Gulhati,Padma Bhushan,Civil Service,Delhi,1961
Shri Rai Krishnadas,Padma Bhushan,Literature and Education,Uttar Pradesh,1961
Shri Sumitra Nandan Pant,Padma Bhushan,Literature and Education,Uttar Pradesh,1961
Shri Svetoslav Roerich,Padma Bhushan,Art,Russia,1961
Shri Vindhyeshwari Prasad Varma,Padma Bhushan,Public Affairs,Bihar,1961
Bibi Harparkash Kaur,Padma Shri,Social Work,Punjab,1961
Brig. Gyan Singh,Padma Shri,Sports,Uttar Pradesh,1961
Dr. Brahm Prakash,Padma Shri,Science and Engineering,Punjab,1961
Dr. Hilda Mary Lazarus,Padma Shri,Medicine,Andhra Pradesh,1961
Dr. Parsuram Misra,Padma Shri,Literature and Education,Odisha,1961
Miss Evangeline Lazarus,Padma Shri,Literature and Education,Karnataka,1961
Muni Jin Vijayji,Padma Shri,Literature and Education,Rajasthan,1961
Prof. M.G.K. Menon,Padma Shri,Science and Engineering,Delhi,1961
Shri Agaram Krishnamachar,Padma Shri,Civil Service,Karnataka,1961
